,greedy,classic
14421,44810.95469292402,44086.581552541626
14422,44637.0857838169,43802.28141343685
14423,48135.37426949721,46733.51011530449
14424,53548.43647484477,51318.72079156745
14425,58614.65620991423,55581.31872174588
14426,60835.209020741626,57554.14623312592
14427,57300.19837713475,54677.870257246745
14428,51005.759744431336,49408.53846987
14429,47079.079690486295,46019.94671170668
14430,56160.32836122302,53872.66389489543
14431,52868.104643506755,50969.18538587463
14432,49468.93465003939,48122.17208849955
14433,49107.20976227886,47940.734158244006
14434,49854.2413667579,48562.91655303085
14435,50237.583848390925,49028.10581832158
14436,45070.551082411126,44430.003214656455
14437,41660.34698878862,41438.06449566136
14438,39601.79063343405,39551.874812993105
14439,39244.5335170166,39218.41219566338
14440,39376.34230584698,39334.29623603316
14441,37853.31186621088,37966.05265498207
14442,34967.515964423445,35331.760922386195
14443,34967.515964423445,35331.760922386195
14444,36884.61596917665,37130.04502278407
14445,37380.86921405405,37601.990016590156
14446,37885.00064030152,38040.697102373095
14447,40324.736295699186,40293.671267214275
14448,45936.639072599624,45367.37823507691
14449,48458.473333509035,47728.16939509496
14450,46202.71291096582,45617.00059625131
14451,44297.43281819105,43785.69252722213
14452,50258.11967395817,49233.98385691809
14453,50315.41094212395,49394.15389454078
14454,57195.54210038654,55488.759427876015
14455,59869.84180191319,57734.426907396424
14456,58828.32685341058,56246.368361479595
14457,61476.07745076262,58182.8147249457
14458,61326.943241579706,57751.64159145361
14459,61382.96303001798,57057.85886880957
14460,62570.73318785,58070.790142540754
14461,63255.749445578105,58673.26840886385
14462,58684.22571567343,54471.64202763917
14463,62286.055425832885,58974.528813189456
14464,63263.27315543652,59261.49061879096
14465,63837.62316776363,59970.196169953415
14466,61447.52468454232,57295.0961121978
14467,61002.41043373711,57331.0460901374
14468,60297.36466153014,57287.51719676097
14469,57209.25937536787,54430.00008729624
14470,55065.24974217892,52927.81571854104
14471,53958.99477131446,51875.241132443996
14472,51246.717783315384,49903.21725268491
14473,50781.94246859894,49473.00380460838
14474,49072.96914733098,48051.91188616836
14475,48356.66587420166,47403.8857803432
14476,47592.038663188745,46866.92741037832
14477,34967.515964423445,35331.760922386195
14478,37085.72160754476,37318.6686943374
14479,39261.34452080524,39362.708628901586
14480,41876.827004688115,41734.90717570103
14481,43443.6592158381,43171.168052746645
14482,45386.00491401566,44867.187611989306
14483,45716.442741476276,45207.90847397306
14484,40503.176489343605,40406.71202647065
14485,40801.55350970367,40623.04642709806
14486,41200.207463111285,41015.22633588518
14487,43668.506368006085,43317.343506647805
14488,43899.55418913209,43472.06758930687
14489,52291.011406126025,50990.474233921566
14490,50941.28349384671,49507.48909858299
14491,49687.04326215576,48200.096948642764
14492,61868.22302892066,58233.98077997996
14493,59856.64206338521,55630.99269601956
14494,60025.50314514037,55685.55825988449
14495,60495.25322261652,56001.676865772126
14496,61167.61658749151,56682.4261059946
14497,62052.371698785464,57754.21618042329
14498,60935.24449274842,57037.627918315266
14499,60888.66257202463,57114.07512035182
14500,60178.671470349866,56026.86298131073
14501,59025.05050872946,55379.764665193354
14502,57031.646615324586,54038.966650563874
14503,55556.64883582329,52918.51251925755
14504,52727.59710445695,50845.75639055267
14505,54927.12883535772,52845.06818787982
14506,52454.17952417377,51201.07608401119
14507,48441.766230032285,47558.56429307811
14508,43560.304212186864,43130.552375152496
14509,44283.73005141082,43780.13748289655
14510,45741.25112144207,45161.28100151579
14511,34967.515964423445,35331.760922386195
14512,38728.71694605403,38859.32733303164
14513,40694.211904538555,40696.43379066537
14514,42718.424887748966,42498.38677140046
14515,44627.48300096995,44271.454102540825
14516,46617.44261728183,45983.74357496738
14517,48150.53559611586,47463.915741801815
14518,49809.280971592496,48785.12071051175
14519,51368.893739703446,50019.3515423409
14520,52680.188769088214,51271.50687609385
14521,53742.484940047136,52485.74023777444
14522,55072.571494901895,53558.993511947665
14523,55781.39927423194,54031.9319985392
14524,56555.25567508532,54219.57971817644
14525,57489.27780035096,54573.63413853759
14526,57618.740103292366,54437.9381587835
14527,57938.267684972445,53941.16909866889
14528,58127.51153369461,54030.796127110625
14529,58784.4056044102,54488.984565889165
14530,58997.69398083112,54738.196867208906
14531,59035.04288532446,54962.42996959562
14532,58401.692268318955,54782.987138500954
14533,57927.82279790559,54487.977186820695
14534,57326.32771464412,53485.2919306694
14535,56407.695976881405,53064.77710771118
14536,55047.4026654441,52300.182729543456
14537,54105.14939190264,51646.0064421829
14538,52724.52867116347,50843.022615331436
14539,50995.23962594219,49205.33662893099
14540,49230.5100602887,48069.61123889392
14541,48056.684965308894,46995.156738928206
14542,46727.927254094066,45927.77814260292
14543,45602.95798519151,44912.27359977829
14544,44824.15304596878,44350.92410913565
14545,38616.54523549729,38754.189726926714
14546,40618.00941930695,40624.65577425167
14547,42709.302593757115,42495.042534668726
14548,44750.946485611435,44383.39326549433
14549,46902.2934895681,46240.75567119019
14550,48695.94420986293,47960.04938920306
14551,50634.99328654923,49573.7717217231
14552,52329.069162271786,50912.94472539945
14553,54018.073323043645,52515.80075527253
14554,55205.0174545898,53804.54559556891
14555,56750.54402619207,55062.3305663112
14556,57857.57825022532,55915.899731548205
14557,58917.07613863259,56323.45254084757
14558,59990.797979080795,56836.923043128256
14559,60416.28960393587,56933.46472295585
14560,60649.65375160055,56357.06142372703
14561,60904.38194002781,56491.79461828941
14562,61416.629253190964,56870.08437501342
14563,64924.701119474994,60464.73272970776
14564,60520.074605823014,56257.2706102181
14565,60879.23526419088,56975.55603166995
14566,62236.290850298086,58365.549884955275
14567,62300.0629370211,58137.20310783053
14568,58216.55791302954,54625.244077810145
14569,57110.36189820547,54108.07377392296
14570,55761.961338259855,53098.450163645335
14571,54322.77359330971,52266.69587247851
14572,52584.34233079907,50624.859460784035
14573,50990.853594498694,49670.27166769686
14574,49967.927267707535,48733.09165163815
14575,48772.62094234068,47779.917997981196
14576,48025.385471138055,47104.26352298487
14577,47868.606237892505,47118.203786274
14578,38556.02472325991,38697.46055271619
14579,40566.10460832311,40575.90523381044
14580,42706.138002880725,42493.107883571916
14581,44772.97788638643,44403.63803025491
14582,46959.45305226365,46292.282106123115
14583,48803.42065214185,48057.72326834056
14584,50748.30392309082,49682.55528752005
14585,52547.85875232225,51116.632297034346
14586,54137.606664930085,52627.54276964234
14587,55458.859546202795,54032.945842252586
14588,56928.052946342956,55221.50143688244
14589,57764.73476038799,55831.557405675834
14590,58606.935512670134,56045.05515810647
14591,60382.579881033846,57189.663937134574
14592,57238.5854151226,54109.7203668733
14593,57482.03322883467,53555.858077957746
14594,55200.2144011497,51559.65366127157
14595,62123.607844938175,57543.64276875013
14596,62909.69366880494,58360.44507872506
